PL_Code,Description,Inventory_Domain,Business_Unit,Division,Equipment_Family,Source_Universe,ABC_Class,Criticality,Current_Stock,Unit_Cost,Inventory_Value,Depot,Snapshot_Date,Pipeline_Version
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,Railway_Operations,TVC,Thiruvananthapuram,Battery / Cell,Strategic,A,S2,4304.0,3449.6,14847078.4,,2026-03-31,12.5.0
56501018,Cable 30 C x 1.5 Sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,A,S1,14152.0,581.11,8223868.72,,2026-03-31,12.5.0
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,A,S2,1532.0,6368.0,9755776.0,,2026-03-31,12.5.0
56509959,Cable 12 C x 1.5 Sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,A,S1,38752.0,235.99,9145084.48,,2026-03-31,12.5.0
56468039,LED Red aspect with accessories,Railway_Operations,MAS,Chennai,LED Signal,Strategic,A,S1,943.0,8897.2,8390059.6,,2026-03-31,12.5.0
56468052,LED Yellow aspect with accessories,Railway_Operations,MAS,Chennai,LED Signal,Strategic,A,S1,632.0,8906.64,5628996.48,,2026-03-31,12.5.0
56468040,LED Green Aspect with accessories,Railway_Operations,MAS,Chennai,LED Signal,Strategic,A,S1,472.0,10166.88,4798767.36,,2026-03-31,12.5.0
50232356/50232319,Magneto telephone,Railway_Operations,MAS,Chennai,Telephone,Strategic,A,S2,114.0,5246.8,598135.2,,2026-03-31,12.5.0
56501006,Cable 24 C x 1.5 Sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,A,S1,6942.0,449.58,3120984.36,,2026-03-31,12.5.0
56119537,Cable 2 C x 2.5 sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,B1,S1,43539.0,96.63,4207173.57,,2026-03-31,12.5.0
56450217,Relay AC Immune Plug in type style-QSPA1,Railway_Operations,MAS,Chennai,Relay,Strategic,B1,S3,296.0,5243.92,1552200.32,,2026-03-31,12.5.0
56468027,Route LED Signal lightning unit 100 V AC,Railway_Operations,MAS,Chennai,LED Signal,Strategic,B1,S1,319.0,5967.2,1903536.8,,2026-03-31,12.5.0
56462050,AC Shunt Signal LED with in built current regulator,Railway_Operations,MAS,Chennai,LED Signal,Strategic,B1,S1,435.0,5711.2,2484372.0,,2026-03-31,12.5.0
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,B2,S2,354.0,4497.92,1592263.68,,2026-03-31,12.5.0
56450229,Relay AC Immune Plug in type style-QTA2,Railway_Operations,MAS,Chennai,Relay,Strategic,B2,S3,156.0,2356.46,367607.76,,2026-03-31,12.5.0
52156576/56500452,Battery charger 230V AC 110V DC 30A,Railway_Operations,MAS,Chennai,Power Supply,Strategic,B2,S2,7.0,59590.0,417130.0,,2026-03-31,12.5.0
56468064,Calling on LED Signal lightning unit 100 V AC,Railway_Operations,MAS,Chennai,LED Signal,Strategic,B2,S1,150.0,6846.36,1026954.0,,2026-03-31,12.5.0
50370080,4 Wire DTMP Way Station Equipment,Railway_Operations,MAS,Chennai,Telephone,Both,B2,S3,216.0,2891.0,624456.0,SSET/SRM/PER027029-S AND T-SR,2026-03-31,12.5.0
56451027,Relay AC  Immune Plug in  type style-QBCA1,Railway_Operations,MAS,Chennai,Relay,Strategic,B2,S3,46.0,3367.77,154917.42,,2026-03-31,12.5.0
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S4,587.0,1392.4,817338.8,,2026-03-31,12.5.0
50231832/50231881,Telephone Electronic Push Button,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,1131.0,477.9,540504.9,,2026-03-31,12.5.0
56163034,Voltage stabilizer 3 KVA-230V.,Railway_Operations,MAS,Chennai,Power Supply,Strategic,C,S3,17.0,38792.5,659472.5,,2026-03-31,12.5.0
56509376,A.R.A Terminal Block 25mm PBT small,Railway_Operations,MAS,Chennai,Termination / Wiring,Strategic,C,S2,10200.0,52.42,534684.0,,2026-03-31,12.5.0
50210014,Emergency Socket Box,Railway_Operations,MAS,Chennai,Termination / Wiring,Both,C,S3,204.0,3630.86,740695.44,SSET/SRM/PER027029-S AND T-SR,2026-03-31,12.5.0
56987122/56110029,Cable 3 C x 10 sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,C,S1,3988.0,124490.0,496466120.0,,2026-03-31,12.5.0
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,Railway_Operations,MAS,Chennai,Telephone,Both,C,S3,332.0,1416.0,470112.0,SSET/SRM/PER027029-S AND T-SR,2026-03-31,12.5.0
72081181/72207413,Drill Twist 7.2 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2528.0,70.45,178097.6,,2026-03-31,12.5.0
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S2,3715.0,76.45,284011.75,,2026-03-31,12.5.0
56507641,Channel Bond Pin,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,133772.0,1.62,216710.64,,2026-03-31,12.5.0
56509388,A.R.A Terminal Block 60mm PBT,Railway_Operations,MAS,Chennai,Termination / Wiring,Strategic,C,S2,2800.0,74.34,208152.0,,2026-03-31,12.5.0
56502576,Fuse ND type RDSO spn 78/92 16 Amps,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S2,3672.0,80.36,295081.92,,2026-03-31,12.5.0
56502606,Fuse ND type RDSO spn 78/92 10 Amps,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S2,3140.0,79.95,251043.0,,2026-03-31,12.5.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2.0,6547.82,13095.64,,2026-03-31,12.5.0
91150401,SOLDER CORE RESIN FILLED (Kgs.),Railway_Operations,MAS,Chennai,LED Signal,Both,C,S4,125.0,2338.26,292282.5,SSET/SRM/PER027029-S AND T-SR,2026-03-31,12.5.0
50231959,Telephone Electronic Push Button   main - Extn .1+1,Railway_Operations,MAS,Chennai,Telephone,Both,C,S3,199.0,3250.0,646750.0,SSET/SRM/PER027029-S AND T-SR,2026-03-31,12.5.0
54253561,Hand Plungerlock with key,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2.0,6962.0,13924.0,,2026-03-31,12.5.0
